"HOUSEHOLD DATA ANNUAL AVERAGES 39.  Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2016,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
Chemical engineers,91,"1,877",73,"1,901",18,Ð
Civil engineers,389,"1,504",350,"1,526",39,Ð
Computer hardware engineers,58,"1,843",46,Ð,12,Ð
Electrical and electronics engineers,271,"1,729",245,"1,736",26,Ð
Environmental engineers,31,Ð,27,Ð,5,Ð
"Industrial engineers, including health and safety",215,"1,526",169,"1,580",46,Ð
Marine engineers and naval architects,19,Ð,18,Ð,1,Ð
Materials engineers,26,Ð,21,Ð,5,Ð
Mechanical engineers,335,"1,560",311,"1,567",24,Ð
"Mining and geological engineers, including mining safety engineers",8,Ð,7,Ð,0,Ð
Nuclear engineers,8,Ð,7,Ð,1,Ð
Petroleum engineers,35,Ð,32,Ð,3,Ð
"Engineers, all other",493,"1,573",430,"1,659",63,"1,401"
Drafters,93,990,83,"1,030",10,Ð
"Engineering technicians, except drafters",350,997,275,"1,075",75,793
Surveying and mapping technicians,67,811,61,790,5,Ð
"Life, physical, and social science occupations","1,151","1,209",665,"1,319",486,"1,119"
Agricultural and food scientists,32,Ð,20,Ð,12,Ð
Biological scientists,81,"1,346",46,Ð,35,Ð
Conservation scientists and foresters,26,Ð,23,Ð,4,Ð
Medical scientists,127,"1,211",69,"1,250",57,"1,169"
"Life scientists, all other",3,Ð,0,Ð,3,Ð
Astronomers and physicists,20,Ð,16,Ð,4,Ð
Atmospheric and space scientists,6,Ð,5,Ð,1,Ð
Chemists and materials scientists,93,"1,306",56,"1,504",36,Ð
Environmental scientists and geoscientists,79,"1,555",58,"1,591",21,Ð
"Physical scientists, all other",241,"1,416",131,"1,727",111,"1,323"
Economists,22,Ð,14,Ð,9,Ð
Survey researchers,1,Ð,1,Ð,0,Ð
Psychologists,91,"1,260",25,Ð,66,"1,187"
Sociologists,4,Ð,1,Ð,3,Ð
Urban and regional planners,34,Ð,21,Ð,13,Ð
Miscellaneous social scientists and related workers,30,Ð,19,Ð,11,Ð
Agricultural and food science technicians,24,Ð,17,Ð,6,Ð
Biological technicians,19,Ð,11,Ð,8,Ð
Chemical technicians,75,919,50,919,25,Ð
Geological and petroleum technicians,17,Ð,15,Ð,2,Ð
Nuclear technicians,4,Ð,3,Ð,1,Ð
Social science research assistants,1,Ð,1,Ð,0,Ð
"Miscellaneous life, physical, and social science technicians",119,894,62,949,57,826
Community and social service occupations,"2,136",919,759,"1,004","1,377",880
Counselors,657,904,184,892,473,907
Social workers,684,906,127,"1,039",557,884
Probation officers and correctional treatment specialists,100,992,39,Ð,61,"1,004"
Social and human service assistants,151,736,29,Ð,122,727
"Miscellaneous community and social service specialists, including health educators and community health workers",83,831,20,Ð,63,767
Clergy,368,"1,039",315,"1,070",53,893
"Directors, religious activities and education",49,Ð,23,Ð,26,Ð
"Religious workers, all other",42,Ð,21,Ð,21,Ð
Legal occupations,"1,294","1,431",562,"1,904",732,"1,152"
Lawyers,745,"1,897",446,"2,086",299,"1,619"
Judicial law clerks,14,Ð,7,Ð,7,Ð
"Judges, magistrates, and other judicial workers",56,"1,560",35,Ð,21,Ð
Paralegals and legal assistants,351,874,43,Ð,308,863
Miscellaneous legal support workers,128,"1,009",30,Ð,98,867
"Education, training, and library occupations","6,859",984,"1,877","1,154","4,982",933
Postsecondary teachers,980,"1,247",535,"1,356",445,"1,152"
Preschool and kindergarten teachers,530,626,13,Ð,518,621
Elementary and middle school teachers,"2,836","1,009",605,"1,126","2,231",981
Secondary school teachers,965,"1,111",403,"1,146",562,"1,074"
Special education teachers,313,"1,021",49,Ð,264,"1,018"
Other teachers and instructors,370,938,156,"1,135",214,786
"Archivists, curators, and museum technicians",36,Ð,11,Ð,25,Ð
Librarians,140,987,23,Ð,117,980
Library technicians,10,Ð,2,Ð,8,Ð
Teacher assistants,588,523,56,501,532,525
"Other education, training, and library workers",91,"1,107",24,Ð,67,"1,068"
"Arts, design, entertainment, sports, and media occupations","1,671","1,040",919,"1,139",752,951
Artists and related workers,61,"1,236",38,Ð,23,Ð
Designers,586,"1,086",290,"1,267",297,922
Actors,13,Ð,8,Ð,5,Ð
Producers and directors,128,"1,163",78,"1,228",50,"1,030"
"Athletes, coaches, umpires, and related workers",141,826,106,862,35,Ð
Dancers and choreographers,5,Ð,2,Ð,4,Ð
"Musicians, singers, and related workers",37,Ð,24,Ð,13,Ð
"Entertainers and performers, sports and related workers, all other",13,Ð,9,Ð,4,Ð
Announcers,32,Ð,24,Ð,8,Ð
"News analysts, reporters and correspondents",58,"1,166",30,Ð,27,Ð
Public relations specialists,107,"1,228",40,Ð,67,"1,134"
Editors,120,"1,053",64,"1,112",56,"1,035"
Technical writers,56,"1,253",29,Ð,27,Ð
Writers and authors,99,"1,070",39,Ð,60,983
Miscellaneous media and communication workers,59,745,24,Ð,36,Ð
Broadcast and sound engineering technicians and radio operators,80,"1,020",67,"1,099",13,Ð
Photographers,43,Ð,24,Ð,19,Ð
"Television, video, and motion picture camera operators and editors",31,Ð,24,Ð,7,Ð
"Media and communication equipment workers, all other",1,Ð,1,Ð,0,Ð
Healthcare practitioners and technical occupations,"6,857","1,104","1,706","1,332","5,150","1,036"
Chiropractors,18,Ð,10,Ð,7,Ð
Dentists,61,"1,850",34,Ð,27,Ð
Dietitians and nutritionists,82,986,11,Ð,71,997
Optometrists,18,Ð,3,Ð,15,Ð
Pharmacists,222,"1,924",89,"2,096",133,"1,839"
Physicians and surgeons,806,"1,916",497,"2,343",308,"1,476"
Physician assistants,75,"1,544",25,Ð,50,"1,547"
Podiatrists,4,Ð,3,Ð,0,Ð
Audiologists,11,Ð,2,Ð,8,Ð
Occupational therapists,71,"1,365",10,Ð,61,"1,315"
Physical therapists,197,"1,325",69,"1,348",128,"1,306"
Radiation therapists,11,Ð,1,Ð,10,Ð
Recreational therapists,9,Ð,6,Ð,3,Ð
Respiratory therapists,76,998,22,Ð,54,993
Speech-language pathologists,112,"1,200",3,Ð,109,"1,172"
Exercise physiologists,1,Ð,0,Ð,1,Ð
"Therapists, all other",137,920,32,Ð,106,913
Veterinarians,65,"1,338",19,Ð,46,Ð
Registered nurses,"2,498","1,154",285,"1,261","2,213","1,143"
Nurse anesthetists,14,Ð,8,Ð,6,Ð
Nurse midwives,5,Ð,0,Ð,5,Ð
Nurse practitioners,144,"1,750",11,Ð,133,"1,753"
"Health diagnosing and treating practitioners, all other",8,Ð,1,Ð,8,Ð
Clinical laboratory technologists and technicians,295,887,97,"1,071",198,834
Dental hygienists,75,"1,034",2,Ð,73,"1,045"
Diagnostic related technologists and technicians,254,"1,041",79,"1,156",175,936
Emergency medical technicians and paramedics,174,779,114,821,60,650
Health practitioner support technologists and technicians,474,662,113,712,361,643
Licensed practical and licensed vocational nurses,525,749,44,Ð,481,743
Medical records and health information technicians,170,798,11,Ð,159,793
"Opticians, dispensing",42,Ð,14,Ð,28,Ð
Miscellaneous health technologists and technicians,107,745,43,Ð,64,714
Other healthcare practitioners and technical occupations,96,"1,083",49,Ð,47,Ð
,,,,,,
Service occupations,"15,908",523,"7,994",595,"7,914",487
Healthcare support occupations,"2,423",525,329,602,"2,094",519
"Nursing, psychiatric, and home health aides","1,386",503,194,534,"1,192",498
Occupational therapy assistants and aides,13,Ð,1,Ð,12,Ð
Physical therapist assistants and aides,48,Ð,15,Ð,32,Ð
Massage therapists,45,Ð,15,Ð,30,Ð
Dental assistants,199,592,19,Ð,180,583
Medical assistants,488,572,36,Ð,452,562
Medical transcriptionists,23,Ð,0,Ð,23,Ð
Pharmacy aides,21,Ð,2,Ð,19,Ð
Veterinary assistants and laboratory animal caretakers,24,Ð,7,Ð,17,Ð
Phlebotomists,84,586,12,Ð,71,570
"Miscellaneous healthcare support occupations, including medical equipment preparers",94,537,29,Ð,65,504
Protective service occupations,"2,697",809,"2,173",854,524,688
First-line supervisors of correctional officers,55,873,35,Ð,20,Ð
First-line supervisors of police and detectives,120,"1,324",97,"1,361",23,Ð
First-line supervisors of fire fighting and prevention workers,45,Ð,41,Ð,3,Ð
"First-line supervisors of protective service workers, all other",89,880,66,895,23,Ð
Firefighters,252,"1,065",244,"1,056",8,Ð
Fire inspectors,16,Ð,15,Ð,1,Ð
"Bailiffs, correctional officers, and jailers",365,749,275,793,91,672
Detectives and criminal investigators,132,"1,182",104,"1,251",28,Ð
Fish and game wardens,8,Ð,7,Ð,1,Ð
Parking enforcement workers,6,Ð,4,Ð,2,Ð
Police and sheriff's patrol officers,709,"1,004",609,"1,008",100,938
Transit and railroad police,2,Ð,2,Ð,0,Ð
Animal control workers,6,Ð,4,Ð,2,Ð
Private detectives and investigators,60,904,31,Ð,29,Ð
Security guards and gaming surveillance officers,727,585,576,597,152,516
Crossing guards,23,Ð,11,Ð,12,Ð
Transportation security screeners,40,Ð,23,Ð,16,Ð
"Lifeguards and other recreational, and all other protective service workers",42,Ð,28,Ð,14,Ð
Food preparation and serving related occupations,"4,619",465,"2,417",491,"2,202",434
Chefs and head cooks,356,614,288,632,68,519
First-line supervisors of food preparation and serving workers,425,528,174,666,251,485
Cooks,"1,408",444,892,459,515,421
Food preparation workers,477,419,215,432,262,413
Bartenders,253,602,131,701,122,498
"Combined food preparation and serving workers, including fast food",196,396,72,381,125,402
"Counter attendants, cafeteria, food concession, and coffee shop",68,374,20,Ð,49,Ð
Waiters and waitresses,949,470,342,504,607,441
"Food servers, nonrestaurant",104,479,33,Ð,71,445
Dining room and cafeteria attendants and bartender helpers,133,420,82,465,51,407
Dishwashers,172,389,142,388,30,Ð
"Hosts and hostesses, restaurant, lounge, and coffee shop",74,442,24,Ð,50,432
"Food preparation and serving related workers, all other",3,Ð,2,Ð,1,Ð
Building and grounds cleaning and maintenance occupations,"3,602",510,"2,392",548,"1,210",454
First-line supervisors of housekeeping and janitorial workers,189,655,119,702,71,524
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",113,707,112,710,1,Ð
Janitors and building cleaners,"1,580",526,"1,139",564,441,476
Maids and housekeeping cleaners,781,441,120,497,661,427
Pest control workers,61,655,59,649,2,Ð
Grounds maintenance workers,878,502,844,503,34,Ð
Personal care and service occupations,"2,568",505,684,613,"1,884",482
First-line supervisors of gaming workers,127,792,68,840,59,717
First-line supervisors of personal service workers,62,651,25,Ð,37,Ð
Animal trainers,24,Ð,13,Ð,11,Ð
Nonfarm animal caretakers,88,485,17,Ð,71,489
Gaming services workers,64,624,33,Ð,31,Ð
Motion picture projectionists,2,Ð,2,Ð,0,Ð
"Ushers, lobby attendants, and ticket takers",14,Ð,6,Ð,8,Ð
Miscellaneous entertainment attendants and related workers,79,481,48,Ð,31,Ð
Embalmers and funeral attendants,3,Ð,1,Ð,2,Ð
"Morticians, undertakers, and funeral directors",23,Ð,18,Ð,5,Ð
Barbers,56,584,48,Ð,8,Ð
"Hairdressers, hairstylists, and cosmetologists",307,510,27,Ð,281,500
Miscellaneous personal appearance workers,205,490,37,Ð,167,466
"Baggage porters, bellhops, and concierges",56,625,46,Ð,10,Ð
Tour and travel guides,18,Ð,10,Ð,8,Ð
Childcare workers,405,452,24,Ð,381,451
Personal care aides,762,477,125,514,636,469
Recreation and fitness workers,192,596,92,668,100,517
Residential advisors,19,Ð,8,Ð,11,Ð
"Personal care and service workers, all other",61,573,35,Ð,26,Ð
,,,,,,
Sales and office occupations,"23,625",698,"9,461",805,"14,163",649
Sales and related occupations,"9,759",744,"5,509",904,"4,250",590
First-line supervisors of retail sales workers,"2,368",743,"1,321",857,"1,047",630
First-line supervisors of non-retail sales workers,781,"1,137",552,"1,161",230,"1,004"
Cashiers,"1,367",414,402,475,965,403
Counter and rental clerks,84,517,47,Ð,36,Ð
Parts salespersons,96,639,85,643,11,Ð
Retail salespersons,"1,831",623,"1,103",730,728,514
Advertising sales agents,203,"1,023",122,"1,034",81,999
Insurance sales agents,423,839,218,"1,166",205,676
"Securities, commodities, and financial services sales agents",219,"1,351",155,"1,458",63,951
Travel agents,46,Ð,8,Ð,38,Ð
"Sales representatives, services, all other",427,"1,040",282,"1,202",145,826
"Sales representatives, wholesale and manufacturing","1,121","1,047",819,"1,140",302,872
"Models, demonstrators, and product promoters",14,Ð,8,Ð,6,Ð
Real estate brokers and sales agents,493,983,209,"1,222",284,780
Sales engineers,40,Ð,35,Ð,5,Ð
Telemarketers,42,Ð,17,Ð,25,Ð
"Door-to-door sales workers, news and street vendors, and related workers",34,Ð,23,Ð,11,Ð
"Sales and related workers, all other",171,805,103,946,68,709
Office and administrative support occupations,"13,866",679,"3,952",708,"9,913",669
First-line supervisors of office and administrative support workers,"1,203",848,383,942,819,809
"Switchboard operators, including answering service",17,Ð,3,Ð,14,Ð
Telephone operators,36,Ð,5,Ð,31,Ð
"Communications equipment operators, all other",5,Ð,1,Ð,4,Ð
Bill and account collectors,144,625,39,Ð,105,650
Billing and posting clerks,404,666,44,Ð,360,660
"Bookkeeping, accounting, and auditing clerks",756,722,115,790,641,716
Gaming cage workers,9,Ð,1,Ð,8,Ð
Payroll and timekeeping clerks,125,786,15,Ð,110,785
Procurement clerks,25,Ð,9,Ð,16,Ð
Tellers,235,542,39,Ð,195,539
"Financial clerks, all other",62,708,18,Ð,44,Ð
Brokerage clerks,3,Ð,2,Ð,1,Ð
Correspondence clerks,5,Ð,0,Ð,5,Ð
"Court, municipal, and license clerks",79,691,19,Ð,60,681
"Credit authorizers, checkers, and clerks",41,Ð,8,Ð,33,Ð
Customer service representatives,"1,850",640,664,676,"1,185",623
"Eligibility interviewers, government programs",72,828,17,Ð,55,735
File clerks,134,676,21,Ð,113,680
"Hotel, motel, and resort desk clerks",102,513,36,Ð,66,500
"Interviewers, except eligibility and loan",105,639,7,Ð,98,634
"Library assistants, clerical",45,Ð,8,Ð,38,Ð
Loan interviewers and clerks,124,774,25,Ð,100,756
New accounts clerks,21,Ð,0,Ð,21,Ð
Order clerks,85,646,40,Ð,45,Ð
"Human resources assistants, except payroll and timekeeping",36,Ð,4,Ð,32,Ð
Receptionists and information clerks,951,583,103,600,848,581
Reservation and transportation ticket agents and travel clerks,102,705,46,Ð,56,646
"Information and record clerks, all other",104,654,31,Ð,73,631
Cargo and freight agents,23,Ð,14,Ð,9,Ð
Couriers and messengers,160,726,135,739,25,Ð
Dispatchers,279,704,126,734,153,671
"Meter readers, utilities",30,Ð,28,Ð,1,Ð
Postal service clerks,111,901,58,999,53,805
Postal service mail carriers,304,981,185,"1,020",119,931
"Postal service mail sorters, processors, and processing machine operators",56,783,33,Ð,23,Ð
"Production, planning, and expediting clerks",224,853,113,935,111,765
"Shipping, receiving, and traffic clerks",473,596,322,602,151,583
Stock clerks and order fillers,"1,014",530,643,533,371,526
"Weighers, measurers, checkers, and samplers, recordkeeping",45,Ð,21,Ð,24,Ð
Secretaries and administrative assistants,"2,210",713,133,831,"2,078",708
Computer operators,78,811,41,Ð,37,Ð
Data entry keyers,221,638,51,655,170,630
Word processors and typists,56,730,7,Ð,48,Ð
Desktop publishers,0,Ð,0,Ð,0,Ð
Insurance claims and policy processing clerks,251,665,40,Ð,210,658
"Mail clerks and mail machine operators, except postal service",56,619,33,Ð,23,Ð
"Office clerks, general",900,654,140,707,760,648
"Office machine operators, except computer",30,Ð,14,Ð,16,Ð
Proofreaders and copy markers,5,Ð,0,Ð,5,Ð
Statistical assistants,7,Ð,5,Ð,2,Ð
"Office and administrative support workers, all other",457,768,107,855,351,751
,,,,,,
"Natural resources, construction, and maintenance occupations","11,022",786,"10,558",794,464,580
"Farming, fishing, and forestry occupations",842,520,673,544,169,465
"First-line supervisors of farming, fishing, and forestry workers",28,Ð,25,Ð,3,Ð
Agricultural inspectors,18,Ð,13,Ð,5,Ð
Animal breeders,2,Ð,1,Ð,1,Ð
"Graders and sorters, agricultural products",74,511,25,Ð,48,Ð
Miscellaneous agricultural workers,659,508,547,524,111,423
Fishers and related fishing workers,4,Ð,4,Ð,0,Ð
Hunters and trappers,1,Ð,1,Ð,0,Ð
Forest and conservation workers,17,Ð,17,Ð,1,Ð
Logging workers,39,Ð,39,Ð,0,Ð
Construction and extraction occupations,"5,979",784,"5,828",786,151,639
First-line supervisors of construction trades and extraction workers,558,"1,091",540,"1,101",18,Ð
Boilermakers,26,Ð,26,Ð,0,Ð
"Brickmasons, blockmasons, and stonemasons",119,741,119,741,0,Ð
Carpenters,839,730,828,733,11,Ð
"Carpet, floor, and tile installers and finishers",93,593,91,597,2,Ð
"Cement masons, concrete finishers, and terrazzo workers",47,Ð,47,Ð,0,Ð
Construction laborers,"1,322",692,"1,281",697,41,Ð
"Paving, surfacing, and tamping equipment operators",11,Ð,11,Ð,0,Ð
Pile-driver operators,4,Ð,4,Ð,0,Ð
Operating engineers and other construction equipment operators,334,920,328,922,6,Ð
"Drywall installers, ceiling tile installers, and tapers",138,600,137,601,1,Ð
Electricians,667,952,649,951,18,Ð
Glaziers,48,Ð,47,Ð,1,Ð
Insulation workers,42,Ð,40,Ð,2,Ð
"Painters, construction and maintenance",392,612,375,615,17,Ð
Paperhangers,0,Ð,0,Ð,0,Ð
