"HOUSEHOLD DATA ANNUAL AVERAGES 39.  Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2016,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
Miscellaneous assemblers and fabricators,990,601,645,625,345,559
Bakers,138,494,55,562,83,480
"Butchers and other meat, poultry, and fish processing workers",244,526,183,571,61,449
"Food and tobacco roasting, baking, and drying machine operators and tenders",16,Ð,14,Ð,2,Ð
Food batchmakers,81,537,40,Ð,42,Ð
Food cooking machine operators and tenders,7,Ð,6,Ð,1,Ð
"Food processing workers, all other",129,547,88,579,41,Ð
Computer control programmers and operators,85,802,80,843,6,Ð
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,Ð,11,Ð,2,Ð
"Forging machine setters, operators, and tenders, metal and plastic",5,Ð,5,Ð,0,Ð
"Rolling machine setters, operators, and tenders, metal and plastic",13,Ð,9,Ð,3,Ð
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",86,639,68,672,18,Ð
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",8,Ð,8,Ð,0,Ð
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",45,Ð,42,Ð,3,Ð
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",13,Ð,12,Ð,0,Ð
"Milling and planing machine setters, operators, and tenders, metal and plastic",2,Ð,2,Ð,0,Ð
Machinists,326,824,313,844,13,Ð
"Metal furnace operators, tenders, pourers, and casters",31,Ð,30,Ð,1,Ð
"Model makers and patternmakers, metal and plastic",3,Ð,3,Ð,0,Ð
"Molders and molding machine setters, operators, and tenders, metal and plastic",28,Ð,21,Ð,7,Ð
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,Ð,1,Ð,1,Ð
Tool and die makers,43,Ð,43,Ð,0,Ð
"Welding, soldering, and brazing workers",558,743,535,753,23,Ð
"Heat treating equipment setters, operators, and tenders, metal and plastic",2,Ð,2,Ð,0,Ð
"Layout workers, metal and plastic",6,Ð,6,Ð,0,Ð
"Plating and coating machine setters, operators, and tenders, metal and plastic",21,Ð,20,Ð,2,Ð
"Tool grinders, filers, and sharpeners",4,Ð,4,Ð,0,Ð
"Metal workers and plastic workers, all other",380,626,306,658,74,565
Prepress technicians and workers,15,Ð,8,Ð,7,Ð
Printing press operators,170,701,137,748,33,Ð
Print binding and finishing workers,11,Ð,9,Ð,2,Ð
Laundry and dry-cleaning workers,135,454,55,486,80,436
"Pressers, textile, garment, and related materials",30,Ð,10,Ð,20,Ð
Sewing machine operators,165,437,52,407,114,452
Shoe and leather workers and repairers,4,Ð,3,Ð,1,Ð
Shoe machine operators and tenders,1,Ð,1,Ð,0,Ð
"Tailors, dressmakers, and sewers",32,Ð,7,Ð,25,Ð
Textile bleaching and dyeing machine operators and tenders,0,Ð,0,Ð,0,Ð
"Textile cutting machine setters, operators, and tenders",7,Ð,4,Ð,3,Ð
"Textile knitting and weaving machine setters, operators, and tenders",13,Ð,2,Ð,11,Ð
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",6,Ð,2,Ð,4,Ð
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,Ð,0,Ð,0,Ð
Fabric and apparel patternmakers,1,Ð,1,Ð,0,Ð
Upholsterers,20,Ð,19,Ð,1,Ð
"Textile, apparel, and furnishings workers, all other",13,Ð,11,Ð,2,Ð
Cabinetmakers and bench carpenters,35,Ð,30,Ð,5,Ð
Furniture finishers,9,Ð,8,Ð,1,Ð
"Model makers and patternmakers, wood",0,Ð,0,Ð,0,Ð
"Sawing machine setters, operators, and tenders, wood",31,Ð,27,Ð,4,Ð
"Woodworking machine setters, operators, and tenders, except sawing",23,Ð,19,Ð,4,Ð
"Woodworkers, all other",17,Ð,15,Ð,1,Ð
"Power plant operators, distributors, and dispatchers",39,Ð,37,Ð,2,Ð
Stationary engineers and boiler operators,77,924,72,954,4,Ð
Water and wastewater treatment plant and system operators,76,883,72,885,3,Ð
Miscellaneous plant and system operators,42,Ð,38,Ð,3,Ð
"Chemical processing machine setters, operators, and tenders",50,924,46,Ð,4,Ð
"Crushing, grinding, polishing, mixing, and blending workers",88,643,82,642,6,Ð
Cutting workers,62,576,50,546,13,Ð
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",24,Ð,19,Ð,4,Ð
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,Ð,10,Ð,1,Ð
"Inspectors, testers, sorters, samplers, and weighers",686,714,445,834,241,584
Jewelers and precious stone and metal workers,18,Ð,11,Ð,7,Ð
"Medical, dental, and ophthalmic laboratory technicians",64,615,33,Ð,31,Ð
Packaging and filling machine operators and tenders,224,488,112,574,113,425
Painting workers,158,701,147,713,11,Ð
Photographic process workers and processing machine operators,23,Ð,11,Ð,12,Ð
Semiconductor processors,2,Ð,2,Ð,0,Ð
Adhesive bonding machine operators and tenders,12,Ð,7,Ð,5,Ð
"Cleaning, washing, and metal pickling equipment operators and tenders",2,Ð,2,Ð,0,Ð
Cooling and freezing equipment operators and tenders,0,Ð,0,Ð,0,Ð
Etchers and engravers,3,Ð,3,Ð,0,Ð
"Molders, shapers, and casters, except metal and plastic",16,Ð,14,Ð,2,Ð
"Paper goods machine setters, operators, and tenders",27,Ð,21,Ð,7,Ð
Tire builders,11,Ð,10,Ð,1,Ð
Helpers--production workers,25,Ð,23,Ð,3,Ð
"Production workers, all other",887,622,641,690,246,515
Transportation and material moving occupations,"7,093",662,"6,097",685,997,540
Supervisors of transportation and material moving workers,165,807,126,843,39,Ð
Aircraft pilots and flight engineers,119,"1,582",112,"1,600",7,Ð
Air traffic controllers and airfield operations specialists,28,Ð,19,Ð,10,Ð
Flight attendants,68,873,19,Ð,49,Ð
"Ambulance drivers and attendants, except emergency medical technicians",15,Ð,13,Ð,2,Ð
Bus drivers,343,641,197,691,146,589
Driver/sales workers and truck drivers,"2,809",780,"2,689",787,120,630
Taxi drivers and chauffeurs,261,580,222,595,38,Ð
"Motor vehicle operators, all other",25,Ð,23,Ð,2,Ð
Locomotive engineers and operators,45,Ð,45,Ð,0,Ð
"Railroad brake, signal, and switch operators",3,Ð,3,Ð,1,Ð
Railroad conductors and yardmasters,52,"1,160",51,"1,148",1,Ð
"Subway, streetcar, and other rail transportation workers",13,Ð,13,Ð,1,Ð
Sailors and marine oilers,15,Ð,14,Ð,1,Ð
Ship and boat captains and operators,28,Ð,26,Ð,1,Ð
Ship engineers,4,Ð,4,Ð,0,Ð
Bridge and lock tenders,3,Ð,3,Ð,0,Ð
Parking lot attendants,67,519,62,513,4,Ð
Automotive and watercraft service attendants,73,462,67,456,5,Ð
Transportation inspectors,25,Ð,20,Ð,5,Ð
"Transportation attendants, except flight attendants",20,Ð,10,Ð,10,Ð
Other transportation workers,31,Ð,24,Ð,7,Ð
Conveyor operators and tenders,4,Ð,4,Ð,0,Ð
Crane and tower operators,66,909,66,909,0,Ð
"Dredge, excavating, and loading machine operators",27,Ð,27,Ð,0,Ð
Hoist and winch operators,11,Ð,10,Ð,0,Ð
Industrial truck and tractor operators,564,602,510,604,54,563
Cleaners of vehicles and equipment,252,491,224,487,28,Ð
"Laborers and freight, stock, and material movers, hand","1,417",566,"1,196",580,221,509
Machine feeders and offbearers,27,Ð,14,Ð,13,Ð
"Packers and packagers, hand",383,456,166,468,216,437
Pumping station operators,13,Ð,11,Ð,1,Ð
Refuse and recyclable material collectors,68,562,64,584,4,Ð
Mine shuttle car operators,0,Ð,0,Ð,0,Ð
"Tank car, truck, and ship loaders",3,Ð,2,Ð,0,Ð
"Material moving workers, all other",46,Ð,40,Ð,6,Ð
,,,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,
